freq,amp,stime
0.001,50,119.9
0.101,50,119.9
0.201,50,119.9
0.301,50,119.9
0.001,100,110.4
0.101,100,110.4
0.201,100,110.4
0.301,100,110.4
0.401,100,110.4
0.501,100,110.4
0.601,100,110.4
0.701,100,110.9
0.801,100,120.5
0.901,100,122.5
1.001,100,148.3
1.501,100,150.2
1.701,100,232.9
0.001,150,108.7
0.101,150,108.7
0.201,150,108.7
0.301,150,108.7
0.401,150,108.7
0.501,150,108.7
0.601,150,108.7
0.701,150,108.7
0.801,150,108.7
0.901,150,109.5
1.001,150,123.6
1.101,150,134.6
1.201,150,182.7
1.301,150,111.4
1.401,150,245.1
1.501,150,161.9
1.601,150,177.7
1.701,150,115.0
1.801,150,235.9
1.901,150,118.5
0.001,200,107.9
0.101,200,107.9
0.201,200,107.9
0.301,200,107.9
0.401,200,107.9
0.501,200,107.9
0.601,200,107.9
0.701,200,107.9
0.801,200,107.9
0.901,200,108.0
1.001,200,108.7
1.101,200,112.8
1.201,200,111.6
1.301,200,115.4
1.401,200,127.5
1.501,200,116.5
1.601,200,139.4
1.701,200,166.9
1.801,200,136.1
1.901,200,135.4
0.001,250,107.4
0.101,250,107.4
0.201,250,107.4
0.301,250,107.4
0.401,250,107.4
0.501,250,107.4
0.601,250,107.4
0.701,250,107.4
0.801,250,107.4
0.901,250,107.4
1.001,250,107.7
1.101,250,108.7
1.201,250,113.9
1.301,250,131.8
1.401,250,113.7
1.501,250,135.1
1.601,250,110.2
1.701,250,122.7
1.801,250,107.4
1.901,250,170.9
0.001,300,107.2
0.101,300,107.2
0.201,300,107.2
0.301,300,107.2
0.401,300,107.2
0.501,300,107.2
0.601,300,107.2
0.701,300,107.2
0.801,300,107.2
0.901,300,107.1
1.001,300,107.2
1.101,300,107.8
1.201,300,109.4
1.301,300,112.0
1.401,300,135.7
1.501,300,141.5
1.601,300,120.4
1.701,300,148.6
1.801,300,111.0
1.901,300,115.5
