freq,amp,stime
0.0,18,74.09
0.02,18,74.11
0.04,18,74.11
0.0,19,44.23
0.02,19,44.27
0.04,19,44.27
0.06,19,44.27
0.0,20,34.27
0.02,20,34.33
0.04,20,34.33
0.06,20,34.33
0.08,20,34.33
0.0,21,28.97
0.02,21,28.95
0.04,21,28.95
0.06,21,28.95
0.08,21,28.95
0.1,21,28.95
0.12,21,41.02
0.0,22,25.49
0.02,22,25.46
0.04,22,25.46
0.06,22,25.46
0.08,22,25.46
0.1,22,25.46
0.12,22,25.46
0.0,23,23.07
0.02,23,23.05
0.04,23,23.05
0.06,23,23.05
0.08,23,23.05
0.1,23,23.05
0.12,23,23.05
0.14,23,23.11
0.0,24,21.18
0.02,24,21.22
0.04,24,21.22
0.06,24,21.22
0.08,24,21.22
0.1,24,21.22
0.12,24,21.22
0.14,24,21.22
0.16,24,21.65
0.0,25,19.75
0.02,25,19.72
0.04,25,19.72
0.06,25,19.72
0.08,25,19.72
0.1,25,19.72
0.12,25,19.72
0.14,25,19.72
0.16,25,19.75
0.18,25,21.71
0.0,26,18.58
0.02,26,18.56
0.04,26,18.56
0.06,26,18.56
0.08,26,18.56
0.1,26,18.56
0.12,26,18.56
0.14,26,18.56
0.16,26,18.56
0.18,26,18.72
0.0,27,17.62
0.02,27,17.6
0.04,27,17.6
0.06,27,17.6
0.08,27,17.6
0.1,27,17.6
0.12,27,17.6
0.14,27,17.6
0.16,27,17.6
0.18,27,17.59
0.2,27,18.52
0.0,28,16.73
0.02,28,16.78
0.04,28,16.78
0.06,28,16.78
0.08,28,16.78
0.1,28,16.78
0.12,28,16.78
0.14,28,16.78
0.16,28,16.78
0.18,28,16.78
0.2,28,16.96
0.22,28,20.58
0.0,29,16.04
0.02,29,16.08
0.04,29,16.08
0.06,29,16.08
0.08,29,16.08
0.1,29,16.08
0.12,29,16.08
0.14,29,16.08
0.16,29,16.08
0.18,29,16.08
0.2,29,16.05
0.22,29,16.85
0.0,30,15.43
0.02,30,15.4
0.04,30,15.4
0.06,30,15.4
0.08,30,15.4
0.1,30,15.4
0.12,30,15.4
