freq,amp,stime,prc2,gene_id
0.0,50,0.67,0.0,49
0.05,50,0.65,0.0,49
0.1,50,0.65,0.0,49
0.15,50,0.65,0.0,49
0.2,50,0.65,0.0,49
0.25,50,0.65,0.0,49
0.3,50,0.65,0.0,49
0.35,50,0.65,0.0,49
0.4,50,0.65,0.0,49
0.45,50,0.65,0.0,49
0.5,50,0.65,0.0,49
0.55,50,0.65,0.0,49
0.6,50,0.65,0.0,49
0.65,50,0.65,0.0,49
0.7,50,0.65,0.0,49
0.75,50,0.65,0.0,49
0.8,50,0.65,0.0,49
0.85,50,0.65,0.0,49
0.9,50,0.65,0.0,49
0.95,50,0.65,0.0,49
1.0,50,0.65,0.0,49
0.0,100,0.66,0.0,49
0.05,100,0.65,0.0,49
0.2,100,0.65,0.0,49
0.3,100,0.65,0.0,49
0.35,100,0.65,0.0,49
0.4,100,0.65,0.0,49
0.45,100,0.65,0.0,49
0.5,100,0.65,0.0,49
0.55,100,0.65,0.0,49
0.6,100,0.65,0.0,49
0.65,100,0.65,0.0,49
0.7,100,0.65,0.0,49
0.75,100,0.65,0.0,49
0.8,100,0.65,0.0,49
0.85,100,0.65,0.0,49
0.9,100,0.65,0.0,49
0.95,100,0.65,0.0,49
1.0,100,0.65,0.0,49
0.0,150,0.65,0.0,49
0.05,150,0.63,0.0,49
0.1,150,0.63,0.0,49
0.2,150,0.63,0.0,49
0.25,150,0.63,0.0,49
0.3,150,0.63,0.0,49
0.35,150,0.63,0.0,49
0.4,150,0.63,0.0,49
0.45,150,0.63,0.0,49
0.5,150,0.63,0.0,49
0.55,150,0.63,0.0,49
0.6,150,0.63,0.0,49
0.65,150,0.63,0.0,49
0.7,150,0.63,0.0,49
0.75,150,0.63,0.0,49
0.8,150,0.63,0.0,49
0.85,150,0.63,0.0,49
0.9,150,0.63,0.0,49
0.95,150,0.63,0.0,49
1.0,150,0.63,0.0,49
0.05,200,0.66,0.0,49
0.1,200,0.66,0.0,49
0.15,200,0.66,0.0,49
0.3,200,0.66,0.0,49
0.35,200,0.66,0.0,49
0.4,200,0.66,0.0,49
0.45,200,0.66,0.0,49
0.5,200,0.66,0.0,49
0.55,200,0.66,0.0,49
0.6,200,0.66,0.0,49
0.65,200,0.66,0.0,49
0.7,200,0.66,0.0,49
0.75,200,0.66,0.0,49
0.8,200,0.66,0.0,49
0.85,200,0.66,0.0,49
0.9,200,0.66,0.0,49
0.95,200,0.66,0.0,49
1.0,200,0.66,0.0,49
0.1,250,0.65,0.0,49
0.2,250,0.65,0.0,49
0.25,250,0.65,0.0,49
0.3,250,0.65,0.0,49
0.35,250,0.65,0.0,49
0.4,250,0.65,0.0,49
0.45,250,0.65,0.0,49
0.5,250,0.65,0.0,49
0.55,250,0.65,0.0,49
0.6,250,0.65,0.0,49
0.65,250,0.65,0.0,49
0.7,250,0.65,0.0,49
0.75,250,0.65,0.0,49
0.8,250,0.65,0.0,49
0.85,250,0.65,0.0,49
0.9,250,0.65,0.0,49
0.95,250,0.65,0.0,49
1.0,250,0.65,0.0,49
0.0,300,0.63,0.0,49
0.1,300,0.65,0.0,49
0.15,300,0.65,0.0,49
0.2,300,0.65,0.0,49
0.3,300,0.65,0.0,49
0.35,300,0.65,0.0,49
0.4,300,0.65,0.0,49
0.45,300,0.65,0.0,49
0.5,300,0.65,0.0,49
0.55,300,0.65,0.0,49
0.6,300,0.65,0.0,49
0.65,300,0.65,0.0,49
0.7,300,0.65,0.0,49
0.75,300,0.65,0.0,49
0.8,300,0.65,0.0,49
0.85,300,0.65,0.0,49
0.9,300,0.65,0.0,49
0.95,300,0.65,0.0,49
1.0,300,0.65,0.0,49
0.0,0,1.88,0.05,49
0.05,0,1.88,0.05,49
0.1,0,1.88,0.05,49
0.15,0,1.88,0.05,49
0.2,0,1.88,0.05,49
0.25,0,1.88,0.05,49
0.3,0,1.88,0.05,49
0.35,0,1.88,0.05,49
0.4,0,1.88,0.05,49
0.45,0,1.88,0.05,49
0.5,0,1.88,0.05,49
0.55,0,1.88,0.05,49
0.6,0,1.88,0.05,49
0.65,0,1.88,0.05,49
0.7,0,1.88,0.05,49
0.75,0,1.88,0.05,49
0.8,0,1.88,0.05,49
0.85,0,1.88,0.05,49
0.9,0,1.88,0.05,49
0.95,0,1.88,0.05,49
1.0,0,1.88,0.05,49
0.0,50,1.68,0.05,49
0.05,50,1.71,0.05,49
0.1,50,1.71,0.05,49
0.15,50,1.71,0.05,49
0.2,50,1.71,0.05,49
0.25,50,1.71,0.05,49
0.3,50,1.71,0.05,49
0.35,50,1.71,0.05,49
0.4,50,1.71,0.05,49
0.45,50,1.71,0.05,49
0.5,50,1.71,0.05,49
0.55,50,1.71,0.05,49
0.6,50,1.71,0.05,49
0.65,50,1.71,0.05,49
0.7,50,1.71,0.05,49
0.75,50,1.71,0.05,49
0.8,50,1.71,0.05,49
0.85,50,1.71,0.05,49
0.9,50,1.71,0.05,49
0.95,50,1.71,0.05,49
1.0,50,1.71,0.05,49
0.0,100,1.7,0.05,49
0.05,100,1.7,0.05,49
0.1,100,1.7,0.05,49
0.15,100,1.7,0.05,49
0.2,100,1.7,0.05,49
0.25,100,1.7,0.05,49
0.3,100,1.7,0.05,49
0.35,100,1.7,0.05,49
0.4,100,1.7,0.05,49
0.45,100,1.7,0.05,49
0.5,100,1.7,0.05,49
0.55,100,1.7,0.05,49
0.6,100,1.7,0.05,49
0.65,100,1.7,0.05,49
0.7,100,1.7,0.05,49
0.75,100,1.7,0.05,49
0.8,100,1.7,0.05,49
0.85,100,1.7,0.05,49
0.9,100,1.7,0.05,49
0.95,100,1.7,0.05,49
1.0,100,1.7,0.05,49
0.0,150,1.69,0.05,49
0.05,150,1.67,0.05,49
0.1,150,1.67,0.05,49
0.15,150,1.67,0.05,49
0.2,150,1.67,0.05,49
0.25,150,1.67,0.05,49
0.3,150,1.67,0.05,49
0.35,150,1.67,0.05,49
0.4,150,1.67,0.05,49
