freq,amp,stime,prc2,gene_id
0.0,50,0.73,0.0,43
0.2,50,0.75,0.0,43
0.3,50,0.75,0.0,43
0.4,50,0.75,0.0,43
0.5,50,0.75,0.0,43
0.6,50,0.75,0.0,43
0.7,50,0.75,0.0,43
0.8,50,0.75,0.0,43
0.9,50,0.75,0.0,43
1.0,50,0.75,0.0,43
0.0,100,0.74,0.0,43
0.2,100,0.73,0.0,43
0.3,100,0.73,0.0,43
0.4,100,0.73,0.0,43
0.5,100,0.73,0.0,43
0.6,100,0.73,0.0,43
0.7,100,0.73,0.0,43
0.8,100,0.73,0.0,43
0.9,100,0.73,0.0,43
1.0,100,0.73,0.0,43
0.1,150,0.73,0.0,43
0.2,150,0.73,0.0,43
0.3,150,0.73,0.0,43
0.4,150,0.73,0.0,43
0.5,150,0.73,0.0,43
0.6,150,0.73,0.0,43
0.7,150,0.73,0.0,43
0.8,150,0.73,0.0,43
0.9,150,0.73,0.0,43
1.0,150,0.73,0.0,43
0.1,200,0.75,0.0,43
0.2,200,0.75,0.0,43
0.3,200,0.75,0.0,43
0.4,200,0.75,0.0,43
0.5,200,0.75,0.0,43
0.6,200,0.75,0.0,43
0.7,200,0.75,0.0,43
0.8,200,0.75,0.0,43
0.9,200,0.75,0.0,43
1.0,200,0.75,0.0,43
0.0,250,0.72,0.0,43
0.1,250,0.74,0.0,43
0.2,250,0.74,0.0,43
0.3,250,0.74,0.0,43
0.4,250,0.74,0.0,43
0.5,250,0.74,0.0,43
0.6,250,0.74,0.0,43
0.7,250,0.74,0.0,43
0.8,250,0.74,0.0,43
0.9,250,0.74,0.0,43
1.0,250,0.74,0.0,43
0.1,300,0.74,0.0,43
0.2,300,0.74,0.0,43
0.3,300,0.74,0.0,43
0.4,300,0.74,0.0,43
0.5,300,0.74,0.0,43
0.6,300,0.74,0.0,43
0.7,300,0.74,0.0,43
0.8,300,0.74,0.0,43
0.9,300,0.74,0.0,43
1.0,300,0.74,0.0,43
0.0,50,1.18,0.05,43
0.1,50,1.16,0.05,43
0.2,50,1.16,0.05,43
0.3,50,1.16,0.05,43
0.4,50,1.16,0.05,43
0.5,50,1.16,0.05,43
0.6,50,1.16,0.05,43
0.7,50,1.16,0.05,43
0.8,50,1.16,0.05,43
0.9,50,1.16,0.05,43
1.0,50,1.16,0.05,43
0.0,100,1.16,0.05,43
0.1,100,1.15,0.05,43
0.2,100,1.15,0.05,43
0.3,100,1.15,0.05,43
0.4,100,1.15,0.05,43
0.5,100,1.15,0.05,43
0.6,100,1.15,0.05,43
0.7,100,1.15,0.05,43
0.8,100,1.15,0.05,43
0.9,100,1.15,0.05,43
1.0,100,1.15,0.05,43
0.0,150,1.16,0.05,43
0.1,150,1.15,0.05,43
0.2,150,1.15,0.05,43
0.3,150,1.15,0.05,43
0.4,150,1.15,0.05,43
0.5,150,1.15,0.05,43
0.6,150,1.15,0.05,43
0.7,150,1.15,0.05,43
0.8,150,1.15,0.05,43
0.9,150,1.15,0.05,43
1.0,150,1.15,0.05,43
0.0,200,1.15,0.05,43
0.1,200,1.17,0.05,43
0.2,200,1.17,0.05,43
0.3,200,1.17,0.05,43
0.4,200,1.17,0.05,43
0.5,200,1.17,0.05,43
0.6,200,1.17,0.05,43
0.7,200,1.17,0.05,43
0.8,200,1.17,0.05,43
0.9,200,1.17,0.05,43
1.0,200,1.17,0.05,43
0.0,250,1.15,0.05,43
0.1,250,1.17,0.05,43
0.2,250,1.17,0.05,43
0.3,250,1.17,0.05,43
0.4,250,1.17,0.05,43
0.5,250,1.17,0.05,43
0.6,250,1.17,0.05,43
0.7,250,1.17,0.05,43
0.8,250,1.17,0.05,43
0.9,250,1.17,0.05,43
1.0,250,1.17,0.05,43
0.0,300,1.15,0.05,43
0.1,300,1.17,0.05,43
0.2,300,1.17,0.05,43
0.3,300,1.17,0.05,43
0.4,300,1.17,0.05,43
0.5,300,1.17,0.05,43
0.6,300,1.17,0.05,43
0.7,300,1.17,0.05,43
0.8,300,1.17,0.05,43
0.9,300,1.17,0.05,43
1.0,300,1.17,0.05,43
0.0,50,1.58,0.1,43
0.1,50,1.6,0.1,43
0.2,50,1.6,0.1,43
0.3,50,1.6,0.1,43
0.4,50,1.6,0.1,43
0.5,50,1.6,0.1,43
0.6,50,1.6,0.1,43
0.7,50,1.6,0.1,43
0.8,50,1.6,0.1,43
0.9,50,1.6,0.1,43
1.0,50,1.6,0.1,43
0.0,100,1.56,0.1,43
0.1,100,1.59,0.1,43
0.2,100,1.59,0.1,43
0.3,100,1.59,0.1,43
0.4,100,1.59,0.1,43
0.5,100,1.59,0.1,43
0.6,100,1.59,0.1,43
0.7,100,1.59,0.1,43
0.8,100,1.59,0.1,43
0.9,100,1.59,0.1,43
1.0,100,1.59,0.1,43
0.0,150,1.56,0.1,43
0.1,150,1.6,0.1,43
0.2,150,1.6,0.1,43
0.3,150,1.6,0.1,43
0.4,150,1.6,0.1,43
0.5,150,1.6,0.1,43
0.6,150,1.6,0.1,43
0.7,150,1.6,0.1,43
0.8,150,1.6,0.1,43
0.9,150,1.6,0.1,43
1.0,150,1.6,0.1,43
0.0,200,1.6,0.1,43
0.1,200,1.58,0.1,43
0.2,200,1.58,0.1,43
0.3,200,1.58,0.1,43
0.4,200,1.58,0.1,43
0.5,200,1.58,0.1,43
0.6,200,1.58,0.1,43
0.7,200,1.58,0.1,43
0.8,200,1.58,0.1,43
0.9,200,1.58,0.1,43
1.0,200,1.58,0.1,43
0.0,250,1.59,0.1,43
0.1,250,1.57,0.1,43
0.2,250,1.57,0.1,43
0.3,250,1.57,0.1,43
0.4,250,1.57,0.1,43
0.5,250,1.57,0.1,43
0.6,250,1.57,0.1,43
0.7,250,1.57,0.1,43
0.8,250,1.57,0.1,43
0.9,250,1.57,0.1,43
1.0,250,1.57,0.1,43
0.0,300,1.56,0.1,43
0.1,300,1.57,0.1,43
0.2,300,1.57,0.1,43
0.3,300,1.57,0.1,43
0.4,300,1.57,0.1,43
0.5,300,1.57,0.1,43
0.6,300,1.57,0.1,43
0.7,300,1.57,0.1,43
0.8,300,1.57,0.1,43
0.9,300,1.57,0.1,43
1.0,300,1.57,0.1,43
0.0,50,2.1,0.15,43
0.1,50,2.09,0.15,43
0.2,50,2.09,0.15,43
