amp,freq,stime,stime_minimum,gene_id,prc2
50,0.0,"Any[109.2, 109.7, 112.1, 112.1, 109.7, 109.2, 109.7, 112.1, 112.1, 109.7, 109.2]",109.2,49,0.3
50,0.05,"Any[113.7, 110.3, 109.3, 109.3, 110.8, 130.5, 121.8, 113.7, 110.3, 109.3, 109.3, 110.8, 130.5, 121.8, 113.7]",109.3,49,0.3
50,0.1,"Any[122.0, 119.2, 115.0, 111.3, 109.6, 109.3, 110.0, 122.0, 119.2, 115.0, 111.3, 109.6, 109.3, 110.0, 122.0]",109.3,49,0.3
50,0.15,"Any[109.4, 109.6, 114.8, 117.6, 115.2, 112.5, 110.3, 109.4, 109.6, 114.8, 117.6, 115.2, 112.5, 110.3, 109.4]",109.4,49,0.3
50,0.2,"Any[113.3, 111.3, 109.9, 109.6, 111.8, 116.2, 115.1, 113.3, 111.3, 109.9, 109.6, 111.8, 116.2, 115.1, 113.3]",109.6,49,0.3
50,0.25,"Any[114.5, 114.7, 113.6, 112.2, 110.7, 109.9, 110.9, 114.5, 114.7, 113.6, 112.2, 110.7, 109.9, 110.9, 114.5]",109.9,49,0.3
50,0.3,"Any[110.7, 110.9, 113.0, 114.0, 113.6, 112.8, 111.8, 110.7, 110.9, 113.0, 114.0, 113.6, 112.8, 111.8, 110.7]",110.7,49,0.3
50,0.35,"Any[113.2, 112.7, 112.2, 111.5, 112.2, 113.3, 113.4, 113.2, 112.7, 112.2, 111.5, 112.2, 113.3, 113.4, 113.2]",111.5,49,0.3
50,0.4,"Any[112.7, 113.1, 113.3, 113.3, 113.1, 112.8, 112.3, 112.7, 113.1, 113.3, 113.3, 113.1, 112.8, 112.3, 112.7]",112.3,49,0.3
50,0.45,"Any[113.3, 112.9, 112.5, 112.7, 113.2, 113.5, 113.5, 113.3, 112.9, 112.5, 112.7, 113.2, 113.5, 113.5, 113.3]",112.5,49,0.3
50,0.5,"Any[113.4, 113.6, 113.5, 113.3, 112.9, 112.6, 113.0, 113.4, 113.6, 113.5, 113.3, 112.9, 112.6, 113.0, 113.4]",112.6,49,0.3
50,0.55,"Any[112.9, 112.8, 113.2, 113.4, 113.5, 113.4, 113.3, 112.9, 112.8, 113.2, 113.4, 113.5, 113.4, 113.3, 112.9]",112.8,49,0.3
50,0.6,"Any[113.5, 113.5, 113.4, 113.0, 113.0, 113.2, 113.4, 113.5, 113.5, 113.4, 113.0, 113.0, 113.2, 113.4, 113.5]",113.0,49,0.3
50,0.65,"Any[113.1, 113.2, 113.5, 113.6, 113.6, 113.5, 113.1, 113.1, 113.2, 113.5, 113.6, 113.6, 113.5, 113.1, 113.1]",113.1,49,0.3
50,0.7,"Any[113.6, 113.4, 113.1, 113.1, 113.3, 113.5, 113.6, 113.6, 113.4, 113.1, 113.1, 113.3, 113.5, 113.6, 113.6]",113.1,49,0.3
50,0.75,"Any[113.4, 113.6, 113.6, 113.5, 113.4, 113.1, 113.2, 113.4, 113.6, 113.6, 113.5, 113.4, 113.1, 113.2, 113.4]",113.1,49,0.3
50,0.8,"Any[113.5, 113.2, 113.3, 113.4, 113.5, 113.6, 113.6, 113.5, 113.2, 113.3, 113.4, 113.5, 113.6, 113.6, 113.5]",113.2,49,0.3
50,0.85,"Any[113.6, 113.6, 113.6, 113.5, 113.2, 113.3, 113.4, 113.6, 113.6, 113.6, 113.5, 113.2, 113.3, 113.4, 113.6]",113.2,49,0.3
50,0.9,"Any[113.2, 113.3, 113.5, 113.6, 113.6, 113.6, 113.4, 113.2, 113.3, 113.5, 113.6, 113.6, 113.6, 113.4, 113.2]",113.2,49,0.3
50,0.95,"Any[113.6, 113.6, 113.3, 113.3, 113.4, 113.5, 113.6, 113.6, 113.6, 113.3, 113.3, 113.4, 113.5, 113.6, 113.6]",113.3,49,0.3
50,1.0,"Any[113.4, 113.5, 113.6, 113.6, 113.6, 113.4, 113.3, 113.4, 113.5, 113.6, 113.6, 113.6, 113.4, 113.3, 113.4]",113.3,49,0.3
50,1.05,"Any[113.6, 113.4, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6, 113.4, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6]",113.4,49,0.3
50,1.1,"Any[113.6, 113.6, 113.7, 113.6, 113.4, 113.4, 113.5, 113.6, 113.6, 113.7, 113.6, 113.4, 113.4, 113.5, 113.6]",113.4,49,0.3
50,1.15,"Any[113.3, 113.4, 113.5, 113.6, 113.6, 113.6, 113.6, 113.3, 113.4, 113.5, 113.6, 113.6, 113.6, 113.6, 113.3]",113.3,49,0.3
50,1.2,"Any[113.6, 113.6, 113.5, 113.4, 113.4, 113.5, 113.6, 113.6, 113.6, 113.5, 113.4, 113.4, 113.5, 113.6, 113.6]",113.4,49,0.3
50,1.25,"Any[113.5, 113.5, 113.6, 113.6, 113.6, 113.5, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6, 113.5, 113.4, 113.5]",113.4,49,0.3
50,1.3,"Any[113.6, 113.5, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6, 113.5, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6]",113.4,49,0.3
50,1.35,"Any[113.6, 113.6, 113.7, 113.6, 113.4, 113.4, 113.5, 113.6, 113.6, 113.7, 113.6, 113.4, 113.4, 113.5, 113.6]",113.4,49,0.3
50,1.4,"Any[113.4, 113.4, 113.5, 113.6, 113.6, 113.6, 113.6, 113.4, 113.4, 113.5, 113.6, 113.6, 113.6, 113.6, 113.4]",113.4,49,0.3
50,1.45,"Any[113.6, 113.6, 113.6, 113.4, 113.4, 113.5, 113.6, 113.6, 113.6, 113.6, 113.4, 113.4, 113.5, 113.6, 113.6]",113.4,49,0.3
50,1.5,"Any[113.5, 113.5, 113.6, 113.6, 113.6, 113.6, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6, 113.6, 113.4, 113.5]",113.4,49,0.3
50,1.55,"Any[113.6, 113.6, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6, 113.6, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6]",113.4,49,0.3
50,1.6,"Any[113.5, 113.6, 113.6, 113.6, 113.5, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6, 113.5, 113.4, 113.5, 113.5]",113.4,49,0.3
50,1.65,"Any[113.5, 113.4, 113.5, 113.6, 113.6, 113.6, 113.6, 113.5, 113.4, 113.5, 113.6, 113.6, 113.6, 113.6, 113.5]",113.4,49,0.3
50,1.7,"Any[113.6, 113.6, 113.6, 113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.6, 113.5, 113.5, 113.5, 113.6, 113.6]",113.5,49,0.3
50,1.75,"Any[113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.5, 113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.5, 113.5]",113.5,49,0.3
50,1.8,"Any[113.6, 113.6, 113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.6, 113.5, 113.5, 113.5, 113.6, 113.6, 113.6]",113.5,49,0.3
50,1.85,"Any[113.5, 113.6, 113.6, 113.6, 113.6, 113.4, 113.5, 113.5, 113.6, 113.6, 113.6, 113.6, 113.4, 113.5, 113.5]",113.4,49,0.3
50,1.9,"Any[113.6, 113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.6, 113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.6]",113.5,49,0.3
50,1.95,"Any[113.6, 113.6, 113.6, 113.6, 113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.6, 113.5, 113.5, 113.5, 113.6]",113.5,49,0.3
50,2.0,"Any[113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.5, 113.5, 113.5, 113.5, 113.6, 113.6, 113.6, 113.5, 113.5]",113.5,49,0.3
100,0.0,"Any[107.0, 107.2, 108.3, 116.3, 116.3, 108.3, 107.2, 107.0, 107.2, 108.3, 116.3, 116.3, 108.3, 107.2, 107.0]",107.0,49,0.3
100,0.05,"Any[109.6, 107.6, 107.1, 107.1, 107.6, 110.7, 116.7, 109.6, 107.6, 107.1, 107.1, 107.6, 110.7, 116.7, 109.6]",107.1,49,0.3
100,0.1,"Any[108.5, 115.2, 111.6, 108.4, 107.3, 107.0, 107.2, 108.5, 115.2, 111.6, 108.4, 107.3, 107.0, 107.2, 108.5]",107.0,49,0.3
100,0.15,"Any[107.1, 107.1, 107.7, 112.5, 112.1, 109.7, 107.8, 107.1, 107.1, 107.7, 112.5, 112.1, 109.7, 107.8, 107.1]",107.1,49,0.3
100,0.2,"Any[110.5, 108.7, 107.5, 107.1, 107.3, 109.4, 111.8, 110.5, 108.7, 107.5, 107.1, 107.3, 109.4, 111.8, 110.5]",107.1,49,0.3
100,0.25,"Any[108.1, 110.8, 110.7, 109.5, 108.1, 107.3, 107.2, 108.1, 110.8, 110.7, 109.5, 108.1, 107.3, 107.2, 108.1]",107.2,49,0.3
100,0.3,"Any[107.7, 107.3, 107.6, 109.4, 110.4, 109.9, 108.9, 107.7, 107.3, 107.6, 109.4, 110.4, 109.9, 108.9, 107.7]",107.3,49,0.3
100,0.35,"Any[109.9, 109.3, 108.5, 107.6, 107.4, 108.4, 109.8, 109.9, 109.3, 108.5, 107.6, 107.4, 108.4, 109.8, 109.9]",107.4,49,0.3
100,0.4,"Any[108.0, 109.1, 109.7, 109.5, 108.9, 108.3, 107.6, 108.0, 109.1, 109.7, 109.5, 108.9, 108.3, 107.6, 108.0]",107.6,49,0.3
100,0.45,"Any[108.8, 108.3, 108.0, 108.5, 109.3, 109.4, 109.1, 108.8, 108.3, 108.0, 108.5, 109.3, 109.4, 109.1, 108.8]",108.0,49,0.3
100,0.5,"Any[109.2, 109.2, 109.0, 108.8, 108.5, 108.3, 108.8, 109.2, 109.2, 109.0, 108.8, 108.5, 108.3, 108.8, 109.2]",108.3,49,0.3
100,0.55,"Any[108.6, 108.6, 108.9, 109.1, 109.1, 109.1, 108.9, 108.6, 108.6, 108.9, 109.1, 109.1, 109.1, 108.9, 108.6]",108.6,49,0.3
100,0.6,"Any[109.2, 109.1, 109.0, 108.7, 108.7, 108.9, 109.1, 109.2, 109.1, 109.0, 108.7, 108.7, 108.9, 109.1, 109.2]",108.7,49,0.3
