amp,freq,stime,stime_minimum,gene_id,prc2
50,0.01,"Any[192.9, 123.1]",123.1,49,0.0
50,0.02,"Any[166.8, 131.8, 100.9, 100.9, 100.9]",100.9,49,0.0
50,0.03,"Any[158.0, 134.7, 111.5, 100.9, 100.9, 158.0]",100.9,49,0.0
50,0.04,"Any[118.8, 101.3, 100.9, 171.1, 153.6, 118.8]",100.9,49,0.0
50,0.05,"Any[100.9, 100.9, 150.9, 137.0]",100.9,49,0.0
50,0.06,"Any[100.9, 149.2, 137.6, 126.0, 100.9]",100.9,49,0.0
50,0.07,"Any[100.9, 138.0, 118.1, 100.9, 100.9]",100.9,49,0.0
50,0.08,"Any[138.3, 129.7, 182.0, 100.9, 100.9, 100.9, 138.3]",100.9,49,0.0
50,0.09,"Any[185.1, 169.7, 100.9, 100.9, 130.9]",100.9,49,0.0
50,0.1,"Any[100.9, 100.9, 100.9, 194.7, 187.6]",100.9,49,0.0
50,0.11,"Any[100.9, 100.9, 100.9, 189.8, 100.9]",100.9,49,0.0
50,0.12,"Any[100.9, 179.7, 100.9]",100.9,49,0.0
50,0.13,"Any[100.9, 100.9, 100.9, 100.9, 100.9]",100.9,49,0.0
50,0.14,"Any[100.9, 109.3, 100.9, 100.9]",100.9,49,0.0
50,0.15,"Any[199.9, 153.4, 106.7, 100.9, 100.9, 199.9]",100.9,49,0.0
50,0.16,"Any[187.5, 183.0, 100.9, 100.9, 100.9, 187.5]",100.9,49,0.0
50,0.17,"Any[100.9, 110.7, 143.7]",100.9,49,0.0
50,0.18,Any[178.4],178.4,49,0.0
50,0.19,"Any[100.9, 183.6, 139.7, 169.1, 100.9]",100.9,49,0.0
50,0.2,"Any[100.9, 171.0, 100.9]",100.9,49,0.0
50,0.21,"Any[199.5, 196.3, 183.0]",183.0,49,0.0
50,0.22,"Any[100.9, 100.9, 200.0]",100.9,49,0.0
50,0.23,Any[100.9],100.9,49,0.0
50,0.28,"Any[197.3, 194.7, 197.3]",194.7,49,0.0
50,0.29,Any[171.2],171.2,49,0.0
50,0.3,Any[191.1],191.1,49,0.0
50,0.31,"Any[171.5, 169.2]",169.2,49,0.0
50,0.33,"Any[167.5, 167.5]",167.5,49,0.0
50,0.34,Any[183.1],183.1,49,0.0
50,0.56,Any[172.6],172.6,49,0.0
50,0.59,Any[169.8],169.8,49,0.0
50,1.41,"Any[200.0, 190.8, 200.0, 200.0]",190.8,49,0.0
50,1.42,Any[200.0],200.0,49,0.0
50,1.44,"Any[190.3, 189.9]",189.9,49,0.0
50,1.55,Any[191.4],191.4,49,0.0
50,1.57,Any[190.7],190.7,49,0.0
50,1.58,"Any[190.3, 190.0]",190.0,49,0.0
50,1.7,Any[191.3],191.3,49,0.0
50,1.72,Any[190.3],190.3,49,0.0
50,1.78,Any[193.0],193.0,49,0.0
50,1.79,Any[192.3],192.3,49,0.0
50,1.8,Any[192.4],192.4,49,0.0
50,1.94,Any[193.0],193.0,49,0.0
50,1.95,Any[192.8],192.8,49,0.0
50,1.96,Any[192.0],192.0,49,0.0
