amp,freq,stime,stime_minimum,gene_id,prc2
100,0.0,"Any[106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0]",106.0,49,0.3
100,0.1,"Any[115.9, 111.4, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 138.4, 133.9, 129.4, 124.9, 120.4, 115.9]",106.0,49,0.3
100,0.2,"Any[123.8, 121.5, 119.3, 117.1, 114.8, 112.6, 110.3, 108.1, 106.0, 106.0, 106.0, 106.0, 106.0, 106.6, 123.8]",106.0,49,0.3
100,0.3,"Any[106.0, 106.0, 106.0, 106.0, 107.5, 118.9, 117.4, 157.8, 156.3, 154.8, 153.3, 151.8, 108.5, 107.0, 106.0]",106.0,49,0.3
100,0.4,"Any[107.5, 106.4, 106.0, 106.0, 106.1, 108.5, 116.4, 115.3, 114.2]",106.0,49,0.3
100,0.5,"Any[109.6, 114.8, 114.0, 113.2, 112.3, 111.4, 110.5, 109.6, 108.8, 107.9, 106.0, 106.4, 109.6]",106.0,49,0.3
100,0.6,"Any[129.0, 128.3, 127.5, 106.0, 106.6, 110.5, 113.6, 113.1, 112.5, 111.8, 173.9, 152.2, 109.6, 129.8, 129.0]",106.0,49,0.3
100,0.7,"Any[111.7, 111.2, 128.6, 145.9, 145.3, 144.6, 144.0, 107.4, 106.8, 106.9, 110.5, 112.7, 112.6, 112.2, 111.7]",106.8,49,0.3
100,0.8,"Any[107.9, 110.3, 112.0, 112.4, 112.4, 112.2, 112.0, 111.7, 200.0, 109.0, 108.4, 107.9]",107.9,49,0.3
100,0.9,"Any[112.9, 112.4, 111.9, 110.0, 111.6, 112.5, 113.1, 113.4, 113.5, 113.5, 113.4, 112.9]",110.0,49,0.3
100,1.0,"Any[113.6, 114.1, 114.1, 114.1, 113.9, 113.7, 113.3, 112.9, 112.4, 112.0, 111.5, 111.1, 111.2, 112.6, 113.6]",111.1,49,0.3
100,1.1,"Any[113.0, 112.6, 112.2, 111.8, 112.6, 113.7, 114.1, 114.3, 114.3, 114.4, 114.3, 114.2, 113.8, 113.4, 113.0]",111.8,49,0.3
100,1.2,"Any[115.0, 115.1, 115.1, 114.1, 113.7, 134.3, 133.9, 133.6, 113.4, 114.0, 114.5, 114.8, 115.0]",113.4,49,0.3
100,1.3,"Any[113.2, 114.0, 114.7, 115.1, 115.3, 115.4, 115.4, 115.4, 134.4, 134.0]",113.2,49,0.3
100,1.4,"Any[123.6, 123.3, 114.0, 113.7, 114.0, 114.7, 115.1, 115.3, 115.4, 115.5, 115.6]",113.7,49,0.3
100,1.5,"Any[115.0, 115.3, 115.5, 115.8, 115.9, 116.0, 199.7, 199.4, 123.7, 123.4, 114.7, 114.4, 114.1, 114.5, 115.0]",114.1,49,0.3
100,1.6,"Any[154.7, 154.4, 114.8, 114.6, 114.3, 114.8, 115.4, 115.7, 115.9, 116.1, 116.1, 154.9, 154.7]",114.3,49,0.3
100,1.7,"Any[116.0, 116.1, 116.2, 138.5, 114.7, 115.3, 115.7, 115.9, 116.0]",114.7,49,0.3
100,1.8,"Any[115.2, 115.0, 115.2, 115.5, 115.8, 116.0, 116.2, 116.4, 116.4, 200.0, 116.2, 116.0, 115.7, 115.5, 115.2]",115.0,49,0.3
100,1.9,"Any[116.6, 116.5, 116.2, 155.4, 155.2, 155.0, 168.0, 115.3, 115.7, 116.0, 116.2, 116.4, 116.5, 116.6]",115.3,49,0.3
100,2.0,"Any[115.6, 115.9, 116.2, 116.3, 116.4, 116.5, 166.9, 141.5, 135.0, 115.3, 115.1, 115.6]",115.1,49,0.3
100,0.0,"Any[116.8, 116.8, 116.8, 116.8, 116.8, 116.8, 116.8, 116.8]",116.8,592,0.3
100,0.1,"Any[126.8, 116.8, 116.8, 116.8, 162.7, 158.2, 153.7, 149.2, 144.7, 140.2, 135.7, 131.3, 126.8]",116.8,592,0.3
100,0.2,"Any[135.1, 132.9, 130.6, 128.4, 126.1, 123.9, 121.6, 119.4, 117.7, 146.3, 144.1, 141.8, 139.6, 137.3, 135.1]",117.7,592,0.3
100,0.0,"Any[106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0]",106.0,49,0.301
100,0.1,"Any[115.9, 111.5, 107.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 138.4, 133.9, 129.4, 124.9, 120.4, 115.9]",106.0,49,0.301
100,0.2,"Any[123.8, 184.4, 182.1, 179.9, 114.8, 112.6, 110.3, 108.1, 106.0, 106.0, 106.0, 106.0, 106.0, 106.7, 123.8]",106.0,49,0.301
100,0.3,"Any[106.0, 106.0, 106.0, 106.0, 107.6, 118.9, 117.4, 115.9, 114.5, 113.0, 111.5, 193.7, 192.2, 190.7, 106.0]",106.0,49,0.301
100,0.4,"Any[142.3, 141.2, 108.7, 107.5, 106.4, 106.0, 106.0, 106.1, 108.7, 116.4, 115.4, 114.3]",106.0,49,0.301
100,0.5,"Any[109.9, 114.8, 114.1, 113.2, 112.4, 107.9, 107.0, 106.1, 106.0, 106.4, 109.9]",106.0,49,0.301
100,0.6,"Any[108.1, 107.4, 106.6, 106.1, 106.7, 110.7, 113.6, 113.1, 112.5, 111.8, 111.1, 110.4, 109.6, 108.9, 108.1]",106.1,49,0.301
100,0.7,"Any[111.8, 111.2, 110.7, 110.0, 109.4, 108.8, 162.0, 143.4, 142.7, 107.0, 110.7, 112.7, 112.7, 112.3, 111.8]",107.0,49,0.301
100,0.8,"Any[186.5, 110.5, 112.1, 112.5, 112.5, 112.3, 112.1, 111.8, 142.7, 189.3, 188.7, 188.2, 187.6, 187.1, 186.5]",110.5,49,0.301
100,0.9,"Any[126.0, 111.5, 111.0, 110.6, 110.2, 111.7, 112.6, 113.3, 113.5, 113.6, 113.6]",110.2,49,0.301
100,1.0,"Any[113.8, 114.2, 114.2, 114.2, 114.0, 189.2, 112.5, 112.1, 111.6, 111.2, 111.3, 112.8, 113.8]",111.2,49,0.301
100,1.1,"Any[113.2, 112.8, 192.3, 191.9, 112.8, 113.8, 114.2, 114.4, 114.5, 114.5, 114.5, 114.4, 114.0, 113.6, 113.2]",112.8,49,0.301
100,1.2,"Any[115.1, 115.2, 115.2, 115.0, 114.6, 114.3, 113.9, 113.5, 113.2, 112.8, 113.6, 114.2, 114.6, 115.0, 115.1]",112.8,49,0.301
100,1.3,"Any[113.4, 113.3, 114.2, 114.9, 115.3, 115.5, 115.5, 115.5, 200.0, 200.0, 200.0, 191.5, 191.1, 113.4]",113.3,49,0.301
100,1.4,"Any[115.8, 115.5, 115.2, 114.9, 114.5, 114.2, 113.9, 114.2, 114.9, 115.2, 115.5, 115.6, 115.7, 115.8, 115.8]",113.9,49,0.301
100,1.5,"Any[115.1, 115.5, 115.8, 116.0, 116.1, 116.2, 116.1, 115.8, 115.5, 115.2, 114.7, 115.1]",114.7,49,0.301
100,1.6,"Any[147.0, 193.8, 193.5, 193.3, 114.4, 115.0, 115.6, 115.9, 116.1, 116.3, 116.3, 116.4, 147.5, 147.3, 147.0]",114.4,49,0.301
100,1.7,"Any[116.2, 116.3, 116.4, 138.7, 138.4, 130.7, 130.5, 122.8, 115.2, 114.9, 115.0, 115.5, 115.9, 116.1, 116.2]",114.9,49,0.301
100,1.8,"Any[115.4, 115.2, 115.4, 115.7, 116.0, 116.2, 116.4, 116.6, 116.7, 193.5, 193.2, 193.0, 185.7, 115.7, 115.4]",115.2,49,0.301
100,1.9,"Any[116.7, 123.2, 123.0, 155.6, 115.7, 115.4, 115.2, 115.5, 115.9, 116.2, 116.5, 116.6, 116.7, 116.7]",115.2,49,0.301
100,2.0,"Any[115.8, 116.2, 116.4, 116.5, 116.6, 116.7, 142.0, 192.0, 191.8, 115.7, 115.5, 115.3, 115.8]",115.3,49,0.301
100,0.0,"Any[117.0, 117.0, 117.0, 117.0, 117.0, 117.0, 117.0, 117.0]",117.0,592,0.301
100,0.1,"Any[127.0, 117.0, 117.0, 117.0, 162.9, 158.4, 153.9, 149.4, 144.9, 140.4, 135.9, 131.4, 127.0]",117.0,592,0.301
100,0.2,"Any[135.8, 133.6, 131.3, 129.1, 126.8, 124.6, 122.3, 120.1, 119.1, 147.0, 144.8, 142.5, 140.3, 138.1, 135.8]",119.1,592,0.301
100,0.0,"Any[106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0]",106.0,49,0.302
100,0.1,"Any[116.0, 111.5, 107.0, 106.0, 106.0, 106.0, 106.0, 106.0, 106.0, 138.4, 133.9, 129.4, 124.9, 120.5, 116.0]",106.0,49,0.302
