amp,freq,stime,stime_minimum,gene_id,prc2
100,0.0,"Any[105.7, 105.8, 106.4, 109.4, 109.4, 106.4, 105.8, 105.7, 105.8, 106.4, 109.4, 109.4, 106.4, 105.8, 105.7]",105.7,49,0.25
100,0.1,"Any[106.2, 109.9, 109.4, 106.6, 105.9, 105.7, 105.7, 106.2, 109.9, 109.4, 106.6, 105.9, 105.7, 105.7, 106.2]",105.7,49,0.25
100,0.2,"Any[108.6, 107.1, 106.0, 105.7, 105.7, 106.2, 108.3, 108.6, 107.1, 106.0, 105.7, 105.7, 106.2, 108.3, 108.6]",105.7,49,0.25
100,0.3,"Any[106.3, 105.8, 105.8, 106.2, 107.6, 108.0, 107.4, 106.3, 105.8, 105.8, 106.2, 107.6, 108.0, 107.4, 106.3]",105.8,49,0.25
100,0.4,"Any[105.8, 106.2, 107.1, 107.5, 107.3, 106.7, 106.0, 105.8, 106.2, 107.1, 107.5, 107.3, 106.7, 106.0, 105.8]",105.8,49,0.25
100,0.5,"Any[106.8, 107.2, 107.1, 106.8, 106.4, 106.0, 106.3, 106.8, 107.2, 107.1, 106.8, 106.4, 106.0, 106.3, 106.8]",106.0,49,0.25
100,0.6,"Any[107.0, 106.9, 106.7, 106.3, 106.3, 106.6, 106.9, 107.0, 106.9, 106.7, 106.3, 106.3, 106.6, 106.9, 107.0]",106.3,49,0.25
100,0.7,"Any[106.9, 106.7, 106.5, 106.5, 106.7, 106.8, 106.9, 106.9, 106.7, 106.5, 106.5, 106.7, 106.8, 106.9, 106.9]",106.5,49,0.25
100,0.8,"Any[106.8, 106.5, 106.6, 106.7, 106.9, 106.9, 106.9, 106.8, 106.5, 106.6, 106.7, 106.9, 106.9, 106.9, 106.8]",106.5,49,0.25
100,0.9,"Any[106.5, 106.7, 106.8, 106.9, 106.9, 106.9, 106.7, 106.5, 106.7, 106.8, 106.9, 106.9, 106.9, 106.7, 106.5]",106.5,49,0.25
100,1.0,"Any[106.7, 106.8, 106.9, 106.9, 106.8, 106.6, 106.6, 106.7, 106.8, 106.9, 106.9, 106.8, 106.6, 106.6, 106.7]",106.6,49,0.25
100,1.1,"Any[106.8, 106.8, 106.9, 106.8, 106.6, 106.7, 106.8, 106.8, 106.8, 106.9, 106.8, 106.6, 106.7, 106.8, 106.8]",106.6,49,0.25
100,1.2,"Any[106.9, 106.9, 106.8, 106.7, 106.7, 106.8, 106.8, 106.9, 106.9, 106.8, 106.7, 106.7, 106.8, 106.8, 106.9]",106.7,49,0.25
100,1.3,"Any[106.8, 106.7, 106.7, 106.7, 106.8, 106.8, 106.9, 106.8, 106.7, 106.7, 106.7, 106.8, 106.8, 106.9, 106.8]",106.7,49,0.25
100,1.4,"Any[106.7, 106.7, 106.8, 106.8, 106.9, 106.9, 106.8, 106.7, 106.7, 106.8, 106.8, 106.9, 106.9, 106.8, 106.7]",106.7,49,0.25
