switch_amplitude,switch_frequency
110,0.05
130,0.05
150,0.05
170,0.05
190,0.05
210,0.05
230,0.05
250,0.05
270,0.05
290,0.05
310,0.05
330,0.05
350,0.05
370,0.05
390,0.05
410,0.05
430,0.05
450,0.05
470,0.05
490,0.05
510,0.05
530,0.05
550,0.05
570,0.05
590,0.05
610,0.05
630,0.05
650,0.05
670,0.05
690,0.05
710,0.05
730,0.05
750,0.05
770,0.05
790,0.05
810,0.05
830,0.05
850,0.05
870,0.05
890,0.05
910,0.05
930,0.05
950,0.05
970,0.05
990,0.05
30,0.15
50,0.15
70,0.15
90,0.15
110,0.15
130,0.15
150,0.15
170,0.15
190,0.15
210,0.15
230,0.15
250,0.15
270,0.15
290,0.15
310,0.15
330,0.15
350,0.15
370,0.15
390,0.15
410,0.15
430,0.15
450,0.15
470,0.15
490,0.15
510,0.15
530,0.15
550,0.15
570,0.15
590,0.15
610,0.15
630,0.15
650,0.15
670,0.15
690,0.15
710,0.15
730,0.15
750,0.15
770,0.15
790,0.15
810,0.15
830,0.15
850,0.15
870,0.15
890,0.15
910,0.15
930,0.15
950,0.15
970,0.15
990,0.15
30,0.25
50,0.25
70,0.25
90,0.25
110,0.25
130,0.25
150,0.25
170,0.25
190,0.25
210,0.25
230,0.25
250,0.25
270,0.25
290,0.25
310,0.25
330,0.25
350,0.25
370,0.25
390,0.25
410,0.25
430,0.25
450,0.25
470,0.25
490,0.25
510,0.25
530,0.25
550,0.25
570,0.25
590,0.25
610,0.25
630,0.25
650,0.25
670,0.25
690,0.25
710,0.25
730,0.25
750,0.25
770,0.25
790,0.25
810,0.25
830,0.25
850,0.25
870,0.25
890,0.25
910,0.25
930,0.25
950,0.25
970,0.25
990,0.25
50,0.35
70,0.35
90,0.35
110,0.35
130,0.35
150,0.35
170,0.35
190,0.35
210,0.35
230,0.35
250,0.35
270,0.35
290,0.35
310,0.35
330,0.35
350,0.35
370,0.35
390,0.35
410,0.35
430,0.35
450,0.35
470,0.35
490,0.35
510,0.35
530,0.35
550,0.35
570,0.35
590,0.35
610,0.35
630,0.35
650,0.35
670,0.35
690,0.35
710,0.35
730,0.35
750,0.35
770,0.35
790,0.35
810,0.35
830,0.35
850,0.35
870,0.35
890,0.35
910,0.35
930,0.35
950,0.35
970,0.35
990,0.35
70,0.45
90,0.45
110,0.45
130,0.45
150,0.45
170,0.45
190,0.45
210,0.45
230,0.45
250,0.45
270,0.45
290,0.45
310,0.45
330,0.45
350,0.45
370,0.45
390,0.45
410,0.45
430,0.45
450,0.45
470,0.45
490,0.45
510,0.45
530,0.45
550,0.45
570,0.45
590,0.45
610,0.45
630,0.45
650,0.45
670,0.45
690,0.45
710,0.45
730,0.45
750,0.45
770,0.45
790,0.45
810,0.45
830,0.45
850,0.45
870,0.45
890,0.45
910,0.45
930,0.45
950,0.45
970,0.45
990,0.45
90,0.65
110,0.65
130,0.65
150,0.65
170,0.65
190,0.65
210,0.65
230,0.65
250,0.65
270,0.65
290,0.65
310,0.65
330,0.65
350,0.65
370,0.65
390,0.65
410,0.65
430,0.65
450,0.65
470,0.65
490,0.65
510,0.65
530,0.65
550,0.65
570,0.65
590,0.65
610,0.65
630,0.65
650,0.65
670,0.65
690,0.65
710,0.65
730,0.65
750,0.65
770,0.65
790,0.65
810,0.65
830,0.65
850,0.65
870,0.65
890,0.65
910,0.65
930,0.65
950,0.65
970,0.65
990,0.65
110,0.75
130,0.75
150,0.75
170,0.75
190,0.75
210,0.75
230,0.75
250,0.75
270,0.75
290,0.75
310,0.75
330,0.75
350,0.75
370,0.75
390,0.75
410,0.75
430,0.75
450,0.75
470,0.75
490,0.75
510,0.75
530,0.75
550,0.75
570,0.75
590,0.75
610,0.75
630,0.75
650,0.75
670,0.75
690,0.75
710,0.75
730,0.75
750,0.75
770,0.75
790,0.75
810,0.75
830,0.75
850,0.75
870,0.75
890,0.75
910,0.75
930,0.75
950,0.75
970,0.75
990,0.75
150,0.85
170,0.85
190,0.85
210,0.85
230,0.85
250,0.85
270,0.85
290,0.85
310,0.85
330,0.85
350,0.85
370,0.85
390,0.85
410,0.85
430,0.85
450,0.85
470,0.85
490,0.85
510,0.85
530,0.85
550,0.85
570,0.85
590,0.85
610,0.85
630,0.85
650,0.85
670,0.85
690,0.85
710,0.85
730,0.85
750,0.85
770,0.85
790,0.85
810,0.85
830,0.85
850,0.85
870,0.85
890,0.85
910,0.85
930,0.85
950,0.85
970,0.85
990,0.85
170,0.95
190,0.95
210,0.95
230,0.95
250,0.95
270,0.95
290,0.95
310,0.95
330,0.95
350,0.95
370,0.95
390,0.95
410,0.95
430,0.95
450,0.95
470,0.95
490,0.95
510,0.95
530,0.95
550,0.95
570,0.95
590,0.95
610,0.95
630,0.95
650,0.95
670,0.95
690,0.95
710,0.95
730,0.95
750,0.95
770,0.95
790,0.95
810,0.95
830,0.95
850,0.95
870,0.95
890,0.95
910,0.95
930,0.95
950,0.95
970,0.95
990,0.95
290,1.15
310,1.15
330,1.15
350,1.15
370,1.15
390,1.15
410,1.15
430,1.15
450,1.15
470,1.15
490,1.15
510,1.15
530,1.15
550,1.15
570,1.15
590,1.15
610,1.15
630,1.15
650,1.15
670,1.15
690,1.15
710,1.15
730,1.15
750,1.15
770,1.15
790,1.15
810,1.15
830,1.15
850,1.15
870,1.15
890,1.15
910,1.15
930,1.15
950,1.15
970,1.15
990,1.15
430,1.25
450,1.25
470,1.25
490,1.25
510,1.25
530,1.25
550,1.25
570,1.25
590,1.25
610,1.25
630,1.25
650,1.25
670,1.25
690,1.25
710,1.25
730,1.25
750,1.25
770,1.25
790,1.25
810,1.25
830,1.25
850,1.25
870,1.25
890,1.25
910,1.25
930,1.25
950,1.25
970,1.25
990,1.25
570,1.35
590,1.35
610,1.35
630,1.35
650,1.35
670,1.35
690,1.35
710,1.35
730,1.35
750,1.35
770,1.35
790,1.35
810,1.35
830,1.35
850,1.35
870,1.35
890,1.35
910,1.35
930,1.35
950,1.35
970,1.35
990,1.35
930,1.45
950,1.45
970,1.45
990,1.45
