switch_amplitude,switch_frequency
18,0.0
32,0.02
229,0.04
32,0.06
21,0.08
25,0.1
40,0.12
30,0.14
30,0.16
33,0.18
35,0.2
37,0.22
40,0.24
42,0.26
41,0.28
43,0.3
43,0.32
43,0.34
46,0.36
47,0.38
46,0.4
47,0.42
47,0.44
47,0.46
48,0.48
49,0.5
49,0.52
49,0.54
50,0.56
49,0.58
50,0.6
50,0.62
50,0.64
50,0.66
51,0.68
50,0.7
50,0.72
51,0.74
51,0.76
51,0.78
52,0.8
51,0.82
51,0.84
52,0.86
52,0.88
52,0.9
52,0.92
52,0.94
52,0.96
52,0.98
53,1.0
52,1.02
53,1.04
53,1.06
52,1.08
52,1.1
53,1.12
53,1.14
53,1.16
53,1.18
53,1.2
53,1.22
53,1.24
53,1.26
53,1.28
54,1.3
53,1.32
53,1.34
53,1.36
54,1.38
53,1.4
54,1.42
54,1.44
53,1.46
54,1.48
54,1.5
54,1.52
54,1.54
54,1.56
54,1.58
54,1.6
54,1.62
54,1.64
54,1.66
54,1.68
54,1.7
54,1.72
54,1.74
54,1.76
54,1.78
54,1.8
54,1.82
54,1.84
54,1.86
54,1.88
54,1.9
54,1.92
54,1.94
54,1.96
54,1.98
54,2.0
54,2.02
54,2.04
54,2.06
54,2.08
54,2.1
54,2.12
54,2.14
54,2.16
54,2.18
54,2.2
54,2.22
54,2.24
54,2.26
54,2.28
55,2.3
54,2.32
54,2.34
54,2.36
54,2.38
54,2.4
55,2.42
55,2.44
54,2.46
54,2.48
55,2.5
54,2.52
54,2.54
55,2.56
54,2.58
54,2.6
55,2.62
55,2.64
54,2.66
55,2.68
55,2.7
54,2.72
55,2.74
55,2.76
54,2.78
55,2.8
55,2.82
54,2.84
54,2.86
55,2.88
55,2.9
55,2.92
55,2.94
54,2.96
54,2.98
55,3.0
